Epoch 60 | KGC loss: 0.428594, DiffHEG loss 47.916261:  15%|█▌        | 61/400 [08:58<49:51,  8.82s/it]
Epoch 61 | KGC loss: 0.437858, DiffHEG loss 47.910717:  15%|█▌        | 61/400 [09:06<49:51,  8.82s/it]
Epoch 61 | KGC loss: 0.437858, DiffHEG loss 47.910717:  16%|█▌        | 62/400 [09:06<49:43,  8.83s/it]
Epoch 62 | KGC loss: 0.437320, DiffHEG loss 47.904161:  16%|█▌        | 62/400 [09:15<49:43,  8.83s/it]
Epoch 62 | KGC loss: 0.437320, DiffHEG loss 47.904161:  16%|█▌        | 63/400 [09:15<49:33,  8.82s/it]
Epoch 63 | KGC loss: 0.438751, DiffHEG loss 47.901302:  16%|█▌        | 63/400 [09:24<49:33,  8.82s/it]
Epoch 63 | KGC loss: 0.438751, DiffHEG loss 47.901302:  16%|█▌        | 64/400 [09:24<49:25,  8.82s/it]
Epoch 64 | KGC loss: 0.425761, DiffHEG loss 47.906961:  16%|█▌        | 64/400 [09:33<49:25,  8.82s/it]
Epoch 64 | KGC loss: 0.425761, DiffHEG loss 47.906961:  16%|█▋        | 65/400 [09:33<49:17,  8.83s/it]
Epoch 65 | KGC loss: 0.428336, DiffHEG loss 47.905825:  16%|█▋        | 65/400 [09:42<49:17,  8.83s/it]
Epoch 65 | KGC loss: 0.428336, DiffHEG loss 47.905825:  16%|█▋        | 66/400 [09:42<49:08,  8.83s/it]
Epoch 66 | KGC loss: 0.419892, DiffHEG loss 47.906744:  16%|█▋        | 66/400 [09:51<49:08,  8.83s/it]
Epoch 66 | KGC loss: 0.419892, DiffHEG loss 47.906744:  17%|█▋        | 67/400 [09:51<49:00,  8.83s/it]
Epoch 67 | KGC loss: 0.425391, DiffHEG loss 47.909235:  17%|█▋        | 67/400 [09:59<49:00,  8.83s/it]
Epoch 67 | KGC loss: 0.425391, DiffHEG loss 47.909235:  17%|█▋        | 68/400 [09:59<48:51,  8.83s/it]
Epoch 68 | KGC loss: 0.440970, DiffHEG loss 47.903528:  17%|█▋        | 68/400 [10:08<48:51,  8.83s/it]
Epoch 68 | KGC loss: 0.440970, DiffHEG loss 47.903528:  17%|█▋        | 69/400 [10:08<48:41,  8.83s/it]
Epoch 69 | KGC loss: 0.457838, DiffHEG loss 47.902941:  17%|█▋        | 69/400 [10:17<48:41,  8.83s/it]
Epoch 69 | KGC loss: 0.457838, DiffHEG loss 47.902941:  18%|█▊        | 70/400 [10:17<48:36,  8.84s/it]
Epoch 70 | KGC loss: 0.463473, DiffHEG loss 47.905216:  18%|█▊        | 70/400 [10:26<48:36,  8.84s/it]
Epoch 70 | KGC loss: 0.463473, DiffHEG loss 47.905216:  18%|█▊        | 71/400 [10:26<48:27,  8.84s/it]
Epoch 71 | KGC loss: 0.466335, DiffHEG loss 47.902071:  18%|█▊        | 71/400 [10:35<48:27,  8.84s/it]
Epoch 71 | KGC loss: 0.466335, DiffHEG loss 47.902071:  18%|█▊        | 72/400 [10:35<48:20,  8.84s/it]
Epoch 72 | KGC loss: 0.449669, DiffHEG loss 47.890725:  18%|█▊        | 72/400 [10:44<48:20,  8.84s/it]
Epoch 72 | KGC loss: 0.449669, DiffHEG loss 47.890725:  18%|█▊        | 73/400 [10:44<48:10,  8.84s/it]
Epoch 73 | KGC loss: 0.452406, DiffHEG loss 47.885086:  18%|█▊        | 73/400 [10:52<48:10,  8.84s/it]
