Epoch 67 | KGC loss: 1.797078, DiffHEG loss 81.431890:  17%|█▋        | 67/400 [17:09<1:23:42, 15.08s/it]
Epoch 67 | KGC loss: 1.797078, DiffHEG loss 81.431890:  17%|█▋        | 68/400 [17:09<1:23:25, 15.08s/it]
Epoch 68 | KGC loss: 1.770911, DiffHEG loss 81.428415:  17%|█▋        | 68/400 [17:24<1:23:25, 15.08s/it]
Epoch 68 | KGC loss: 1.770911, DiffHEG loss 81.428415:  17%|█▋        | 69/400 [17:24<1:23:08, 15.07s/it]
Epoch 69 | KGC loss: 1.791114, DiffHEG loss 81.425801:  17%|█▋        | 69/400 [17:39<1:23:08, 15.07s/it]
Epoch 69 | KGC loss: 1.791114, DiffHEG loss 81.425801:  18%|█▊        | 70/400 [17:39<1:22:54, 15.07s/it]
Epoch 70 | KGC loss: 1.755770, DiffHEG loss 81.428725:  18%|█▊        | 70/400 [17:55<1:22:54, 15.07s/it]
Epoch 70 | KGC loss: 1.755770, DiffHEG loss 81.428725:  18%|█▊        | 71/400 [17:55<1:22:39, 15.08s/it]
Epoch 71 | KGC loss: 1.788439, DiffHEG loss 81.445310:  18%|█▊        | 71/400 [18:10<1:22:39, 15.08s/it]
Epoch 71 | KGC loss: 1.788439, DiffHEG loss 81.445310:  18%|█▊        | 72/400 [18:10<1:22:24, 15.07s/it]
Epoch 72 | KGC loss: 1.743911, DiffHEG loss 81.418025:  18%|█▊        | 72/400 [18:25<1:22:24, 15.07s/it]
Epoch 72 | KGC loss: 1.743911, DiffHEG loss 81.418025:  18%|█▊        | 73/400 [18:25<1:22:09, 15.08s/it]
Epoch 73 | KGC loss: 1.794763, DiffHEG loss 81.426159:  18%|█▊        | 73/400 [18:40<1:22:09, 15.08s/it]
Epoch 73 | KGC loss: 1.794763, DiffHEG loss 81.426159:  18%|█▊        | 74/400 [18:40<1:21:56, 15.08s/it]
Epoch 74 | KGC loss: 1.736800, DiffHEG loss 81.426000:  18%|█▊        | 74/400 [18:55<1:21:56, 15.08s/it]
Epoch 74 | KGC loss: 1.736800, DiffHEG loss 81.426000:  19%|█▉        | 75/400 [18:55<1:21:41, 15.08s/it]
Epoch 75 | KGC loss: 1.775486, DiffHEG loss 81.417541:  19%|█▉        | 75/400 [19:10<1:21:41, 15.08s/it]
Epoch 75 | KGC loss: 1.775486, DiffHEG loss 81.417541:  19%|█▉        | 76/400 [19:10<1:21:29, 15.09s/it]
Epoch 76 | KGC loss: 1.735149, DiffHEG loss 81.409385:  19%|█▉        | 76/400 [19:25<1:21:29, 15.09s/it]
Epoch 76 | KGC loss: 1.735149, DiffHEG loss 81.409385:  19%|█▉        | 77/400 [19:25<1:21:14, 15.09s/it]
Epoch 77 | KGC loss: 1.785590, DiffHEG loss 81.417877:  19%|█▉        | 77/400 [19:40<1:21:14, 15.09s/it]
Epoch 77 | KGC loss: 1.785590, DiffHEG loss 81.417877:  20%|█▉        | 78/400 [19:40<1:20:58, 15.09s/it]
Epoch 78 | KGC loss: 1.753262, DiffHEG loss 81.408388:  20%|█▉        | 78/400 [19:55<1:20:58, 15.09s/it]
Epoch 78 | KGC loss: 1.753262, DiffHEG loss 81.408388:  20%|█▉        | 79/400 [19:55<1:20:40, 15.08s/it]
Epoch 79 | KGC loss: 1.794938, DiffHEG loss 81.416879:  20%|█▉        | 79/400 [20:10<1:20:40, 15.08s/it]
Epoch 79 | KGC loss: 1.794938, DiffHEG loss 81.416879:  20%|██        | 80/400 [20:10<1:20:28, 15.09s/it]
Epoch 80 | KGC loss: 1.734303, DiffHEG loss 81.412005:  20%|██        | 80/400 [20:25<1:20:28, 15.09s/it]
Epoch 80 | KGC loss: 1.734303, DiffHEG loss 81.412005:  20%|██        | 81/400 [20:25<1:20:13, 15.09s/it]
Epoch 81 | KGC loss: 1.746095, DiffHEG loss 81.423234:  20%|██        | 81/400 [20:41<1:20:13, 15.09s/it]
Epoch 81 | KGC loss: 1.746095, DiffHEG loss 81.423234:  20%|██        | 82/400 [20:41<1:19:59, 15.09s/it]
Epoch 82 | KGC loss: 1.725622, DiffHEG loss 81.421142:  20%|██        | 82/400 [20:56<1:19:59, 15.09s/it]
Epoch 82 | KGC loss: 1.725622, DiffHEG loss 81.421142:  21%|██        | 83/400 [20:56<1:19:41, 15.08s/it]
Epoch 83 | KGC loss: 1.744795, DiffHEG loss 81.414633:  21%|██        | 83/400 [21:11<1:19:41, 15.08s/it]
Epoch 83 | KGC loss: 1.744795, DiffHEG loss 81.414633:  21%|██        | 84/400 [21:11<1:19:28, 15.09s/it]
Epoch 84 | KGC loss: 1.715740, DiffHEG loss 81.413546:  21%|██        | 84/400 [21:26<1:19:28, 15.09s/it]
Epoch 84 | KGC loss: 1.715740, DiffHEG loss 81.413546:  21%|██▏       | 85/400 [21:26<1:19:14, 15.10s/it]
