Epoch 60 | KGC loss: 1.786033, DiffHEG loss 81.401300:  15%|█▌        | 60/400 [16:44<1:33:02, 16.42s/it]
Epoch 60 | KGC loss: 1.786033, DiffHEG loss 81.401300:  15%|█▌        | 61/400 [16:44<1:32:49, 16.43s/it]
Epoch 61 | KGC loss: 1.822418, DiffHEG loss 81.411394:  15%|█▌        | 61/400 [17:00<1:32:49, 16.43s/it]
Epoch 61 | KGC loss: 1.822418, DiffHEG loss 81.411394:  16%|█▌        | 62/400 [17:00<1:32:32, 16.43s/it]
Epoch 62 | KGC loss: 1.775404, DiffHEG loss 81.407204:  16%|█▌        | 62/400 [17:17<1:32:32, 16.43s/it]
Epoch 62 | KGC loss: 1.775404, DiffHEG loss 81.407204:  16%|█▌        | 63/400 [17:17<1:32:16, 16.43s/it]
Epoch 63 | KGC loss: 1.797535, DiffHEG loss 81.406400:  16%|█▌        | 63/400 [17:33<1:32:16, 16.43s/it]
Epoch 63 | KGC loss: 1.797535, DiffHEG loss 81.406400:  16%|█▌        | 64/400 [17:33<1:31:59, 16.43s/it]
Epoch 64 | KGC loss: 1.761842, DiffHEG loss 81.415333:  16%|█▌        | 64/400 [17:50<1:31:59, 16.43s/it]
Epoch 64 | KGC loss: 1.761842, DiffHEG loss 81.415333:  16%|█▋        | 65/400 [17:50<1:31:43, 16.43s/it]
Epoch 65 | KGC loss: 1.792772, DiffHEG loss 81.404566:  16%|█▋        | 65/400 [18:06<1:31:43, 16.43s/it]
Epoch 65 | KGC loss: 1.792772, DiffHEG loss 81.404566:  16%|█▋        | 66/400 [18:06<1:31:29, 16.44s/it]
Epoch 66 | KGC loss: 1.777519, DiffHEG loss 81.402808:  16%|█▋        | 66/400 [18:22<1:31:29, 16.44s/it]
Epoch 66 | KGC loss: 1.777519, DiffHEG loss 81.402808:  17%|█▋        | 67/400 [18:22<1:31:12, 16.43s/it]
Epoch 67 | KGC loss: 1.792871, DiffHEG loss 81.418341:  17%|█▋        | 67/400 [18:39<1:31:12, 16.43s/it]
Epoch 67 | KGC loss: 1.792871, DiffHEG loss 81.418341:  17%|█▋        | 68/400 [18:39<1:30:55, 16.43s/it]
Epoch 68 | KGC loss: 1.755378, DiffHEG loss 81.415445:  17%|█▋        | 68/400 [18:55<1:30:55, 16.43s/it]
Epoch 68 | KGC loss: 1.755378, DiffHEG loss 81.415445:  17%|█▋        | 69/400 [18:55<1:30:36, 16.42s/it]
Epoch 69 | KGC loss: 1.791682, DiffHEG loss 81.414337:  17%|█▋        | 69/400 [19:12<1:30:36, 16.42s/it]
Epoch 69 | KGC loss: 1.791682, DiffHEG loss 81.414337:  18%|█▊        | 70/400 [19:12<1:30:18, 16.42s/it]
Epoch 70 | KGC loss: 1.746136, DiffHEG loss 81.398056:  18%|█▊        | 70/400 [19:28<1:30:18, 16.42s/it]
Epoch 70 | KGC loss: 1.746136, DiffHEG loss 81.398056:  18%|█▊        | 71/400 [19:28<1:30:01, 16.42s/it]
Epoch 71 | KGC loss: 1.780879, DiffHEG loss 81.401612:  18%|█▊        | 71/400 [19:44<1:30:01, 16.42s/it]
Epoch 71 | KGC loss: 1.780879, DiffHEG loss 81.401612:  18%|█▊        | 72/400 [19:44<1:29:43, 16.41s/it]
Epoch 72 | KGC loss: 1.732407, DiffHEG loss 81.394282:  18%|█▊        | 72/400 [20:01<1:29:43, 16.41s/it]
