Epoch 51 | KGC loss: 0.421835, DiffHEG loss 47.912853:  13%|█▎        | 52/400 [17:57<2:00:10, 20.72s/it]
Epoch 52 | KGC loss: 0.419629, DiffHEG loss 47.917456:  13%|█▎        | 52/400 [18:18<2:00:10, 20.72s/it]
Epoch 52 | KGC loss: 0.419629, DiffHEG loss 47.917456:  13%|█▎        | 53/400 [18:18<1:59:48, 20.72s/it]
Epoch 53 | KGC loss: 0.416857, DiffHEG loss 47.916428:  13%|█▎        | 53/400 [18:39<1:59:48, 20.72s/it]
Epoch 53 | KGC loss: 0.416857, DiffHEG loss 47.916428:  14%|█▎        | 54/400 [18:39<1:59:30, 20.72s/it]
Epoch 54 | KGC loss: 0.414455, DiffHEG loss 47.918757:  14%|█▎        | 54/400 [18:59<1:59:30, 20.72s/it]
Epoch 54 | KGC loss: 0.414455, DiffHEG loss 47.918757:  14%|█▍        | 55/400 [18:59<1:59:02, 20.70s/it]
Epoch 55 | KGC loss: 0.417107, DiffHEG loss 47.904848:  14%|█▍        | 55/400 [19:20<1:59:02, 20.70s/it]
Epoch 55 | KGC loss: 0.417107, DiffHEG loss 47.904848:  14%|█▍        | 56/400 [19:20<1:58:42, 20.70s/it]
Epoch 56 | KGC loss: 0.413544, DiffHEG loss 47.922929:  14%|█▍        | 56/400 [19:41<1:58:42, 20.70s/it]
Epoch 56 | KGC loss: 0.413544, DiffHEG loss 47.922929:  14%|█▍        | 57/400 [19:41<1:58:23, 20.71s/it]
Epoch 57 | KGC loss: 0.410248, DiffHEG loss 47.908327:  14%|█▍        | 57/400 [20:02<1:58:23, 20.71s/it]
Epoch 57 | KGC loss: 0.410248, DiffHEG loss 47.908327:  14%|█▍        | 58/400 [20:02<1:58:05, 20.72s/it]
Epoch 58 | KGC loss: 0.406363, DiffHEG loss 47.911076:  14%|█▍        | 58/400 [20:22<1:58:05, 20.72s/it]
Epoch 58 | KGC loss: 0.406363, DiffHEG loss 47.911076:  15%|█▍        | 59/400 [20:22<1:57:47, 20.73s/it]
Epoch 59 | KGC loss: 0.414935, DiffHEG loss 47.910007:  15%|█▍        | 59/400 [20:43<1:57:47, 20.73s/it]
Epoch 59 | KGC loss: 0.414935, DiffHEG loss 47.910007:  15%|█▌        | 60/400 [20:43<1:57:21, 20.71s/it]
Epoch 60 | KGC loss: 0.411356, DiffHEG loss 47.914105:  15%|█▌        | 60/400 [21:04<1:57:21, 20.71s/it]
Epoch 60 | KGC loss: 0.411356, DiffHEG loss 47.914105:  15%|█▌        | 61/400 [21:04<1:56:59, 20.71s/it]
Epoch 61 | KGC loss: 0.411700, DiffHEG loss 47.902400:  15%|█▌        | 61/400 [21:24<1:56:59, 20.71s/it]
Epoch 61 | KGC loss: 0.411700, DiffHEG loss 47.902400:  16%|█▌        | 62/400 [21:24<1:56:35, 20.70s/it]
Epoch 62 | KGC loss: 0.421198, DiffHEG loss 47.913719:  16%|█▌        | 62/400 [21:45<1:56:35, 20.70s/it]
Epoch 62 | KGC loss: 0.421198, DiffHEG loss 47.913719:  16%|█▌        | 63/400 [21:45<1:56:04, 20.67s/it]
Epoch 63 | KGC loss: 0.424533, DiffHEG loss 47.902287:  16%|█▌        | 63/400 [22:06<1:56:04, 20.67s/it]
Epoch 63 | KGC loss: 0.424533, DiffHEG loss 47.902287:  16%|█▌        | 64/400 [22:06<1:55:43, 20.67s/it]
Epoch 64 | KGC loss: 0.410793, DiffHEG loss 47.906870:  16%|█▌        | 64/400 [22:26<1:55:43, 20.67s/it]
Epoch 64 | KGC loss: 0.410793, DiffHEG loss 47.906870:  16%|█▋        | 65/400 [22:26<1:55:22, 20.66s/it]
Epoch 65 | KGC loss: 0.420728, DiffHEG loss 47.889407:  16%|█▋        | 65/400 [22:47<1:55:22, 20.66s/it]
Epoch 65 | KGC loss: 0.420728, DiffHEG loss 47.889407:  16%|█▋        | 66/400 [22:47<1:54:59, 20.66s/it]
Epoch 66 | KGC loss: 0.411520, DiffHEG loss 48.451291:  16%|█▋        | 66/400 [23:08<1:54:59, 20.66s/it]
Epoch 66 | KGC loss: 0.411520, DiffHEG loss 48.451291:  17%|█▋        | 67/400 [23:08<1:54:37, 20.65s/it]
Epoch 67 | KGC loss: 0.414455, DiffHEG loss 48.048620:  17%|█▋        | 67/400 [23:28<1:54:37, 20.65s/it]
Epoch 67 | KGC loss: 0.414455, DiffHEG loss 48.048620:  17%|█▋        | 68/400 [23:28<1:54:11, 20.64s/it]
Epoch 68 | KGC loss: 0.412542, DiffHEG loss 47.952162:  17%|█▋        | 68/400 [23:49<1:54:11, 20.64s/it]
Epoch 68 | KGC loss: 0.412542, DiffHEG loss 47.952162:  17%|█▋        | 69/400 [23:49<1:53:48, 20.63s/it]
Epoch 69 | KGC loss: 0.444869, DiffHEG loss 47.934521:  17%|█▋        | 69/400 [24:09<1:53:48, 20.63s/it]
Epoch 69 | KGC loss: 0.444869, DiffHEG loss 47.934521:  18%|█▊        | 70/400 [24:09<1:53:31, 20.64s/it]
Epoch 70 | KGC loss: 0.425333, DiffHEG loss 47.928250:  18%|█▊        | 70/400 [24:30<1:53:31, 20.64s/it]
Epoch 70 | KGC loss: 0.425333, DiffHEG loss 47.928250:  18%|█▊        | 71/400 [24:30<1:53:18, 20.66s/it]
Epoch 71 | KGC loss: 0.426379, DiffHEG loss 47.913378:  18%|█▊        | 71/400 [24:51<1:53:18, 20.66s/it]
Epoch 71 | KGC loss: 0.426379, DiffHEG loss 47.913378:  18%|█▊        | 72/400 [24:51<1:52:59, 20.67s/it]
Epoch 72 | KGC loss: 0.421275, DiffHEG loss 47.929816:  18%|█▊        | 72/400 [25:12<1:52:59, 20.67s/it]
Epoch 72 | KGC loss: 0.421275, DiffHEG loss 47.929816:  18%|█▊        | 73/400 [25:12<1:52:43, 20.68s/it]
Epoch 73 | KGC loss: 0.429266, DiffHEG loss 47.923392:  18%|█▊        | 73/400 [25:32<1:52:43, 20.68s/it]
Epoch 73 | KGC loss: 0.429266, DiffHEG loss 47.923392:  18%|█▊        | 74/400 [25:32<1:52:26, 20.70s/it]
Epoch 74 | KGC loss: 0.432164, DiffHEG loss 47.918755:  18%|█▊        | 74/400 [25:53<1:52:26, 20.70s/it]
Epoch 74 | KGC loss: 0.432164, DiffHEG loss 47.918755:  19%|█▉        | 75/400 [25:53<1:52:10, 20.71s/it]
Epoch 75 | KGC loss: 0.424702, DiffHEG loss 47.927831:  19%|█▉        | 75/400 [26:14<1:52:10, 20.71s/it]
Epoch 75 | KGC loss: 0.424702, DiffHEG loss 47.927831:  19%|█▉        | 76/400 [26:14<1:51:45, 20.70s/it]
Epoch 76 | KGC loss: 0.440899, DiffHEG loss 47.919581:  19%|█▉        | 76/400 [26:34<1:51:45, 20.70s/it]
Epoch 76 | KGC loss: 0.440899, DiffHEG loss 47.919581:  19%|█▉        | 77/400 [26:34<1:51:16, 20.67s/it]
Epoch 77 | KGC loss: 0.451436, DiffHEG loss 47.919716:  19%|█▉        | 77/400 [26:55<1:51:16, 20.67s/it]
Epoch 77 | KGC loss: 0.451436, DiffHEG loss 47.919716:  20%|█▉        | 78/400 [26:55<1:50:54, 20.67s/it]
Epoch 78 | KGC loss: 0.444228, DiffHEG loss 47.913644:  20%|█▉        | 78/400 [27:16<1:50:54, 20.67s/it]
Epoch 78 | KGC loss: 0.444228, DiffHEG loss 47.913644:  20%|█▉        | 79/400 [27:16<1:50:36, 20.67s/it]
Epoch 79 | KGC loss: 0.446330, DiffHEG loss 47.911065:  20%|█▉        | 79/400 [27:36<1:50:36, 20.67s/it]
Epoch 79 | KGC loss: 0.446330, DiffHEG loss 47.911065:  20%|██        | 80/400 [27:36<1:50:16, 20.68s/it]
Epoch 80 | KGC loss: 0.445691, DiffHEG loss 47.914412:  20%|██        | 80/400 [27:57<1:50:16, 20.68s/it]
