method,seed,split,MRR,MR,Hit@10,Hit@3,Hit@1,checkpoint,log_file
soft_token_retrieval,1,Head/Tail Missing Text,0.29102260818519476,1119.894495412844,0.43425076452599387,0.3241590214067278,0.21100917431192662,./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed1.ckpt,results/phase1_mkgw/soft_token_retrieval_seed1.log
soft_token_retrieval,1,Head/Tail Both Have Text,0.32003427091112485,848.6475804408411,0.464783379782113,0.3711679756777299,0.2337218140359767,./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed1.ckpt,results/phase1_mkgw/soft_token_retrieval_seed1.log
soft_token_retrieval,1,Head/Tail Injected Missing Text,nan,nan,nan,nan,nan,./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed1.ckpt,results/phase1_mkgw/soft_token_retrieval_seed1.log
soft_token_retrieval,2,Overall,0.3195899724960327,862.5625,0.466190904378891,0.36511465907096863,0.23479175567626953,./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed2.ckpt,results/phase1_mkgw/soft_token_retrieval_seed2.log
soft_token_retrieval,2,Head/Tail Missing Text,0.29284802649064956,1062.5825688073394,0.43883792048929665,0.3241590214067278,0.21406727828746178,./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed2.ckpt,results/phase1_mkgw/soft_token_retrieval_seed2.log
soft_token_retrieval,2,Head/Tail Both Have Text,0.32180578265888815,845.9912591841905,0.4684570559918926,0.36850772738788956,0.23650874081580947,./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed2.ckpt,results/phase1_mkgw/soft_token_retrieval_seed2.log
soft_token_retrieval,2,Head/Tail Injected Missing Text,nan,nan,nan,nan,nan,./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed2.ckpt,results/phase1_mkgw/soft_token_retrieval_seed2.log
soft_token_retrieval_guarded_hpsac,0,Overall,0.32655456481367556,847.854117922321,0.4698175011698643,0.37049602246139446,0.24368273280299485,checkpoint_a=./checkpoint/phase1_mkgw/rotate_softtoken_seed0.ckpt; checkpoint_b=./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed0.ckpt,results/phase1_mkgw/soft_token_retrieval_guarded_hpsac_seed0.log
soft_token_retrieval_guarded_hpsac,0,Head/Tail Missing Text,0.3006652040216845,1095.9464831804282,0.44801223241590216,0.3302752293577982,0.22324159021406728,checkpoint_a=./checkpoint/phase1_mkgw/rotate_softtoken_seed0.ckpt; checkpoint_b=./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed0.ckpt,results/phase1_mkgw/soft_token_retrieval_guarded_hpsac_seed0.log
soft_token_retrieval_guarded_hpsac,0,Head/Tail Both Have Text,0.3286994396500021,827.300228021282,0.4716240182417026,0.3738282239675703,0.24537623511527742,checkpoint_a=./checkpoint/phase1_mkgw/rotate_softtoken_seed0.ckpt; checkpoint_b=./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed0.ckpt,results/phase1_mkgw/soft_token_retrieval_guarded_hpsac_seed0.log
soft_token_retrieval_guarded_hpsac,1,Overall,0.32238340715696456,861.765676181563,0.4649040711277492,0.37061300889096865,0.23783341132428637,checkpoint_a=./checkpoint/phase1_mkgw/rotate_softtoken_seed1.ckpt; checkpoint_b=./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed1.ckpt,results/phase1_mkgw/soft_token_retrieval_guarded_hpsac_seed1.log
soft_token_retrieval_guarded_hpsac,1,Head/Tail Missing Text,0.29102260818519476,1119.894495412844,0.43425076452599387,0.3241590214067278,0.21100917431192662,checkpoint_a=./checkpoint/phase1_mkgw/rotate_softtoken_seed1.ckpt; checkpoint_b=./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed1.ckpt,results/phase1_mkgw/soft_token_retrieval_guarded_hpsac_seed1.log
soft_token_retrieval_guarded_hpsac,1,Head/Tail Both Have Text,0.32498157823975377,840.3802888269572,0.4674436280719534,0.3744616164175323,0.24005573853559667,checkpoint_a=./checkpoint/phase1_mkgw/rotate_softtoken_seed1.ckpt; checkpoint_b=./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed1.ckpt,results/phase1_mkgw/soft_token_retrieval_guarded_hpsac_seed1.log
soft_token_retrieval_guarded_hpsac,2,Overall,0.32324042468656233,853.9801123069724,0.4701684604585868,0.3685072531586336,0.23876930276087974,checkpoint_a=./checkpoint/phase1_mkgw/rotate_softtoken_seed2.ckpt; checkpoint_b=./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed2.ckpt,results/phase1_mkgw/soft_token_retrieval_guarded_hpsac_seed2.log
soft_token_retrieval_guarded_hpsac,2,Head/Tail Missing Text,0.29284802649064956,1062.5825688073394,0.43883792048929665,0.3241590214067278,0.21406727828746178,checkpoint_a=./checkpoint/phase1_mkgw/rotate_softtoken_seed2.ckpt; checkpoint_b=./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed2.ckpt,results/phase1_mkgw/soft_token_retrieval_guarded_hpsac_seed2.log
soft_token_retrieval_guarded_hpsac,2,Head/Tail Both Have Text,0.32575836596096397,836.6978718013681,0.47276412465163414,0.3721814035976691,0.24081580947555106,checkpoint_a=./checkpoint/phase1_mkgw/rotate_softtoken_seed2.ckpt; checkpoint_b=./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed2.ckpt,results/phase1_mkgw/soft_token_retrieval_guarded_hpsac_seed2.log
